case_tag,source_tag,binning_tag,fit_mode,state,rapidity,source_file,output_file,n_weight_bins
local260505_2exp_mergeHigh_linear,local260505_2exp,mergeHigh,linear,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_linear/ratioDataMC_AA_BtoJpsi_DATA_mid.root,6
local260505_2exp_mergeHigh_poly2,local260505_2exp,mergeHigh,poly2,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_poly2/ratioDataMC_AA_BtoJpsi_DATA_mid.root,6
local260505_2exp_mergeHigh_expoConst,local260505_2exp,mergeHigh,expoConst,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_expoConst/ratioDataMC_AA_BtoJpsi_DATA_mid.root,6
local260505_2exp_mergeHigh_doubleExp,local260505_2exp,mergeHigh,doubleExp,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_mid.root,6
local260505_2exp_mergeLowHigh_linear,local260505_2exp,mergeLowHigh,linear,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_linear/ratioDataMC_AA_BtoJpsi_DATA_mid.root,5
local260505_2exp_mergeLowHigh_poly2,local260505_2exp,mergeLowHigh,poly2,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_poly2/ratioDataMC_AA_BtoJpsi_DATA_mid.root,5
local260505_2exp_mergeLowHigh_expoConst,local260505_2exp,mergeLowHigh,expoConst,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_expoConst/ratioDataMC_AA_BtoJpsi_DATA_mid.root,5
local260505_2exp_mergeLowHigh_doubleExp,local260505_2exp,mergeLowHigh,doubleExp,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_mid.root,5
local260505_2exp_everyOther_linear,local260505_2exp,everyOther,linear,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_linear/ratioDataMC_AA_BtoJpsi_DATA_mid.root,4
local260505_2exp_everyOther_poly2,local260505_2exp,everyOther,poly2,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_everyOther_poly2/ratioDataMC_AA_BtoJpsi_DATA_mid.root,4
